id	il	lan	lon
1	Adana	36.99190234610351	35.33303921668979
2	Adıyaman	37.78782462815155	38.179759643738564
3	Afyonkarahisar	38.85239792431681	30.4846624847585
4	Ağrı	39.71952850548134	43.05042022487234
5	Amasya	40.6566819659583	35.837795830503225
6	Ankara	39.98539625620571	32.74235273107599
7	Antalya	36.998017537401594	30.561566775387313
8	Artvin	41.26930525931815	41.76130244116476
9	Aydın	37.910360790530945	27.768840911595138
10	Balıkesir	39.73228813750496	27.87458424015942
11	Bilecik	40.17967428895133	 29.94413370366748
12	Bingöl	38.88532148027085	40.49634129169557
13	Bitlis	38.40086552518598	42.10871365711923
14	Bolu	40.79277282528033	31.659374466161143
15	Burdur	37.67063056064594	30.30888124903548
16	Bursa	40.333841790163454	29.067426271741667
17	Çanakkale	40.19960673853333	26.440868398877594
18	Çankırı	40.600970039270905	33.616132268762804
19	Çorum	40.597023929632904	35.04865641744557
20	Denizli	37.91372116119969	29.00150830834554
21	Diyarbakır	37.9785889614689	40.2396961194374
22	Edirne	41.6788235565913	26.556224834040098
23	Elazığ	38.732407662955794	39.261912876158384
24	Erzincan	39.77874150412825	39.43220106783479
25	Erzurum	39.955820703246864	41.22297240676302
26	Eskişehir	39.90538021631862	30.583539429852696
27	Gaziantep	37.1250272464114	37.267894284439954
28	Giresun	40.91723014705461	38.39193611024981
29	Gümüşhane	40.46101554158991	39.4793900835083
30	Hakkari	37.57712859524625	43.73616409956774
31	Hatay	36.20451807529464	36.16013079163698
32	Isparta	37.84434832756795	30.451703503060433
33	Mersin	36.9716900805744	34.57157621531864
34	İstanbul	41.1164675208536	28.968549326647477
35	İzmir	38.480215388369885	27.181072404646304
36	Kars	40.68872264606849	43.03571640015664
37	Kastamonu	41.376383666181425	33.77477923792016
38	Kayseri	38.76678884584832	35.41752341223566
39	Kırklareli	41.73623650026379	27.19892504307186
40	Kırşehir	39.21072348929133	34.109324944710174
41	Kocaeli	40.813668794264125	29.9518256139731
42	Konya	37.926992793833236	32.416510816883054
43	Kütahya	39.57591338613316	29.89140081419331
44	Malatya	38.41891183400525	38.26765026160007
45	Manisa	38.66917465702963	27.417278440149108
46	Kahramanmaraş	37.63572766389697	36.67463261387478
47	Mardin	37.38735938303708	40.78901248107183
48	Muğla	37.291661751705476	28.357062904404625
49	Muş	38.73478998064899	41.491701921648115
50	Nevşehir	38.65561209646726	34.685187855327484
51	Niğde	37.9693625284343	34.676776448539975
52	Ordu	41.016965421561835	37.828197207315775
53	Rize	41.025499735209145	40.516911354830874
54	Sakarya	40.78773775051695	30.404606959228186
55	Samsun	41.343580637735975	36.388988339833574
56	Siirt	37.927054846165724	41.941369012819166
57	Sinop	42.02815609039398	35.15153411210778
58	Sivas	39.80406651271151	37.05366122195771
59	Tekirdağ	41.02939828354419	27.53950112214645
60	Tokat	40.36722617604376	36.581249150952104
61	Trabzon	41.145325026663	39.64094128525586
62	Tunceli	39.10590978128167	39.54766629500338
63	Şanlıurfa	37.20819790674311	38.77302111531829
64	Uşak	38.73251641359641	29.397016088722324
65	Van	38.5822721891946	43.27741559927579
66	Yozgat	39.82032179694089	34.77810795579005
67	Zonguldak	41.50010623207956	31.802196720186096
68	Aksaray	38.40169445239768	34.11481836865834
69	Bayburt	40.26042261028008	40.226696137562726
70	Karaman	37.23881665119702	33.31281648067207
71	Kırıkkale	39.87166125884852	33.423505019502684
72	Batman	37.94394130155319	41.09113647997076
73	Şırnak	37.51875639367056	42.45381058126192
74	Bartın	41.67266911139157	32.324046983553025
75	Ardahan	41.11297754063816	42.70246130549933
76	Iğdır	39.92094673598031	44.0420977121038
77	Yalova	40.72630508614589	29.364057107024266
78	Karabük	41.15359770699961	32.587719117323324
79	Kilis	36.71659779259159	37.11386306134515
80	Osmaniye	37.1250272464114	36.27912483349798
81	Düzce	40.90081228093301	31.175975996984086
